Protein.Name	Gene.Name	Uniprot.ID	protein_ZT0	protein_ZT03	protein_ZT06	protein_ZT09	protein_ZT12	protein_ZT15	protein_ZT18	protein_ZT21	protein_ZT24	protein_ZT27	protein_ZT30	protein_ZT33	protein_ZT36	protein_ZT39	protein_ZT42	protein_ZT45	protein_mean.level	protein_max.level	protein_rhythm.pvalue	protein.length	aa.synthesis.average.cost_Akashi	aa.synthesis.average.cost_Wagner
Ribonuclease inhibitor	Rnh1	Q91VI7	17	20	31	18	14	18	21	16	23	16	18	19	17	20	19	18	19.0625	31	0.753141897	456	21.5	24.12
NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7	Ndufb7	Q9CR61	6	5	8	6	7	8	9	8	9	5	10	6	2	5	8	9	6.9375	10	0.75363495	137	24.62	25.48
Tubulin beta-4A chain	Tubb4a	Q9D6F9	9	9	10	9	8	12	10	9	8	9	8	11	10	8	9	9	9.25	12	0.75462996	444	23.2	25.2
MAGUK p55 subfamily member 6	Mpp6	Q9JLB0-2;Q9JLB0	12	11	16	10	11	10	16	10	12	6	13	6	13	5	12	12	10.9375	16	0.754157891	553	23.57	25.75
Acyl-protein thioesterase 2	Lypla2	Q9WTL7	3	7	7	5	5	5	6	5	5	2	5	1	5	3	5	4	4.5625	7	0.752945684	231	23.1	25.2
39S ribosomal protein L17, mitochondrial	Mrpl17	Q9D8P4	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	1	0.4375	1	0.722665485	176	23.82	25.66
Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 2	Sumo3;Sumo2	G3UZA7;Q9Z172;Q9Z172-2;G3UWX9;P61957;G3UWI9;G3UZ60;D3Z794;G3UZX6	8	11	11	12	8	11	11	10	10	10	10	12	9	11	8	10	10.125	12	0.755984248	NA	NA	NA
Cadherin-5	Cdh5	P55284	1	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0.4375	1	0.731869205	784	23.18	25.49
Protein polybromo-1	Pbrm1	F8VQD1;E9Q4Y5;D3Z1N4;Q8BSQ9;Q8BSQ9-2;E9Q7L2;D3Z1W6;E9Q7L3;D3YYF2;F6THL5;D3Z3R4;D6RI94;D6RIL0	0	0	3	0	0	0	0	1	2	2	1	0	0	1	0	0	0.625	3	0.727325655	1634	23.66	25.59
	Akr1c6	D3Z3P8	0	0	0	0	0	0	0	4	4	0	1	0	1	0	1	1	0.75	4	0.724705153	NA	NA	NA
Formin-binding protein 1-like	Fnbp1l	E9PUI5;F6Q0N9;Q8K012;E9PUK3;Q8K012-2	2	0	0	1	1	0	1	0	0	0	1	0	0	0	1	0	0.4375	2	0.733358646	605	23.52	25.01
Polypyrimidine tract-binding protein 2	Ptbp2	Q91Z31-2;Q91Z31	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0.25	1	0.725930899	531	22.21	24.95
RalBP1-associated Eps domain-containing protein 2	Reps2	B9EI38;A2AFI8;B1AV20;Q80XA6;Q3UHF8	1	1	5	3	0	1	0	3	3	2	1	3	1	4	1	2	1.9375	5	0.796405468	521	21.6	22.59
DmX-like protein 2	Dmxl2	B0V2P5;Q8BPN8;Q8BPN8-2;B0V2P6;Q8BPN8-3;F6RYL8	0	4	8	5	0	6	4	6	10	7	6	2	5	4	6	4	4.8125	10	0.792198217	3032	23.32	25.41
	Mtx1	G3XA66	2	2	2	1	2	1	2	3	1	2	2	0	1	0	2	1	1.5	3	0.783880553	NA	NA	NA
Low-density lipoprotein receptor	Ldlr	P35951;Q6GTJ9;E9Q3S1	3	1	4	2	2	3	3	1	1	0	5	1	3	0	3	6	2.375	6	0.797852481	862	22.46	24.32
Cell division cycle 5-like protein	Cdc5l;Gm9049	Q6A068;E9Q5F8	2	3	6	1	2	1	2	1	2	2	2	0	3	0	1	1	1.8125	6	0.810532752	802	22.58	23.96
Mitochondrial Rho GTPase 1	Rhot1	Q8BG51-4;Q8BG51-3;Q8BG51-2;Q8BG51;F7ASU3	3	1	2	2	4	2	2	3	4	3	2	2	1	1	0	0	2	4	0.792274862	631	24.26	26.6
Cytoskeleton-associated protein 4	Ckap4	Q8BMK4	2	1	2	1	2	1	4	2	1	2	3	1	0	0	2	1	1.5625	4	0.78263681	575	20.89	22.48
Diphosphomevalonate decarboxylase	Mvd	Q99JF5	2	2	3	1	2	2	0	1	1	1	0	1	4	1	3	3	1.6875	4	0.806695666	401	22.51	24.54
Alanine--glyoxylate aminotransferase 2-like 1	Agxt2l1	Q8BWU8;E9PYH3	32	34	24	37	30	34	39	25	24	19	27	21	33	24	27	30	28.75	39	0.757728909	499	23.39	25.45
Phosphoacetylglucosamine mutase	Pgm3	Q9CYR6;Q8BWW3	8	9	6	7	7	6	7	9	8	5	8	6	8	5	5	7	6.9375	9	0.758520184	542	22.55	24.93
39S ribosomal protein L37, mitochondrial	Mrpl37	Q921S7	7	7	8	8	6	4	10	5	11	4	8	5	6	8	3	4	6.5	11	0.758235036	423	24.62	26.45
Rab GDP dissociation inhibitor alpha	Gdi1	P50396	13	21	17	18	16	21	21	17	16	9	21	11	21	12	18	22	17.125	22	0.75957114	447	23.78	26.39
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	Gnb1	P62874	9	6	7	5	6	5	7	3	6	1	8	1	6	1	4	6	5.0625	9	0.758997513	340	22.87	25.41
Proteasome subunit beta type-2	Psmb2	Q9R1P3	17	40	23	40	13	31	34	31	27	27	24	33	20	30	19	22	26.9375	40	0.759287202	201	24.21	26.97
Adenosine deaminase	Ada	P03958	5	6	9	8	6	7	7	4	5	5	9	6	9	4	9	10	6.8125	10	0.760700396	352	24.05	26.24
ADP/ATP translocase 2	Slc25a5	P51881	75	103	108	127	100	106	98	137	134	117	127	114	79	121	102	101	109.3125	137	0.761268427	298	24.73	27.95
KH domain-containing, RNA-binding, signal transduction-associated protein 1	Khdrbs1	Q60749	2	2	3	1	3	3	2	3	2	1	2	2	2	3	4	2	2.3125	4	0.760261154	443	22.12	23.18
Histone-lysine N-methyltransferase setd3	Setd3	Q91WC0;Q91WC0-2;F2Z420	3	4	8	5	2	6	3	3	8	2	3	2	6	3	4	4	4.125	8	0.760670239	594	23.37	25.59
NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	Ndufa7	Q9Z1P6	11	13	9	13	9	12	12	12	10	11	12	12	14	10	11	13	11.5	14	0.761267244	113	22.55	24.02
Asialoglycoprotein receptor 2	Asgr2	P24721;B1AR35	2	2	2	3	3	3	3	3	4	2	2	2	2	3	2	2	2.5	4	0.762441764	301	24.53	26.22
Rho-associated protein kinase 1	Rock1	P70335;P70335-2	1	6	6	6	3	7	7	4	7	3	5	4	6	4	3	4	4.75	7	0.76235598	1354	23.09	24.93
Erlin-2	Erlin2	Q8BFZ9	9	8	9	6	7	4	7	6	9	3	12	4	11	3	10	7	7.1875	12	0.762604259	340	23.33	26.08
UPF0687 protein C20orf27 homolog	1700037H04Rik	F8WIU1;Q9D1K7	2	4	5	4	1	4	4	4	5	4	1	4	1	4	1	1	3.0625	5	0.76331566	174	23.38	25.24
CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Cdipt	Q8VDP6	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0.3125	1	0.739606168	213	25.09	28.57
Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1	Ctdsp1	P58466	1	1	1	0	1	1	2	2	0	2	3	2	0	1	0	2	1.1875	3	0.859343414	261	23.34	25.42
Crooked neck-like protein 1	Crnkl1	P63154	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	0.3125	1	0.744190543	690	25.62	27.24
	Ak2	F7BP55	2	2	2	1	2	1	2	1	2	1	2	1	2	1	1	2	1.5625	2	0.764970446	NA	NA	NA
Cytochrome c, somatic	Gm10108;Cycs;Gm10121	G3UWG1;P62897;G3UW49	30	34	34	32	28	28	28	32	30	29	32	32	29	36	31	35	31.25	36	0.765880677	105	24.16	26.98
G-rich sequence factor 1	Grsf1	Q8C5Q4;E9Q179	2	2	2	3	1	2	3	2	2	1	3	2	3	2	3	4	2.3125	4	0.766129764	479	22.8	24.61
	Nans	Q99J77	6	8	7	7	7	7	7	7	6	2	10	4	10	2	9	7	6.625	10	0.765828157	359	23.66	25.82
Fascin	Fscn1	Q61553	1	5	3	5	1	4	2	5	3	2	2	4	4	3	4	3	3.1875	5	0.768085684	493	22.9	25.12
Proteasome assembly chaperone 3	Psmg3	Q9CZH3	2	2	3	3	2	2	2	2	2	1	3	1	4	1	1	4	2.1875	4	0.768038508	122	22.85	25.67
Nucleoside diphosphate kinase 3	Nme3	Q9WV85	2	3	1	1	2	1	1	1	1	2	2	2	2	1	1	2	1.5625	3	0.767834343	169	24.6	26.78
Eukaryotic translation initiation factor 2 subunit 3, X-linked	Eif2s3x	Q9Z0N1;A2AAW9	21	32	28	30	17	26	27	25	30	22	30	21	26	21	26	27	25.5625	32	0.767369992	472	22.63	25.06
Stromal cell-derived factor 2	Sdf2	Q9DCT5	8	5	7	6	7	3	10	4	5	4	6	4	7	4	6	7	5.8125	10	0.768435065	211	23.08	24.94
DNA (cytosine-5)-methyltransferase 1	Dnmt1	P13864;P13864-2	0	1	2	1	0	1	0	2	2	2	0	0	0	0	0	0	0.6875	2	0.747597706	1620	23.08	24.71
Mitotic spindle-associated MMXD complex subunit MIP18	Fam96b	Q9D187;F8WHV1	2	4	2	4	2	4	2	4	2	3	0	4	2	3	1	0	2.4375	4	0.819448445	163	21.23	22.79
SET and MYND domain-containing protein 5	Smyd5	Q3TYX3	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0.25	1	0.752087934	416	23.32	24.92
Solute carrier family 25 member 51	Mcart1;Slc25a51	A2AKW0;Q5HZI9	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0.3125	2	0.752584359	298	25.22	27.92
COP9 signalosome complex subunit 7b	Cops7b	Q8BV13	5	8	4	8	3	5	3	5	5	2	1	4	4	3	3	2	4.0625	8	0.770950137	264	22.44	24.59
Methionine synthase	Mtr	A6H5Y3	0	1	1	1	2	1	0	0	1	0	0	1	1	1	0	0	0.625	2	0.751147253	1253	23.38	25.77
Nuclear pore complex protein Nup155	Nup155	Q6ZQ45;Q99P88	2	1	3	1	2	0	2	2	2	0	1	0	0	0	0	0	1	3	0.75456306	1391	23.13	25.31
Trafficking protein particle complex subunit 5	Trappc5	Q9CQA1	1	0	1	0	1	0	2	1	2	0	1	0	0	0	1	1	0.6875	2	0.748976472	188	23.05	25.3
Cleavage and polyadenylation specificity factor subunit 1	Cpsf1	Q9EPU4	1	0	0	0	0	1	1	1	1	1	0	0	1	2	0	2	0.6875	2	0.73297093	1441	23.48	25.57
	Hnrnpr	Q8VHM5;A2AW41	4	6	7	5	3	5	8	4	5	3	4	4	4	3	4	5	4.625	8	0.77162036	NA	NA	NA
Serine/threonine-protein kinase OSR1	Oxsr1	Q6P9R2	13	9	9	9	6	10	9	6	7	3	12	3	11	6	9	11	8.3125	13	0.772050098	527	22.54	24.49
Fanconi anemia group D2 protein homolog	Fancd2	Q80V62;E9Q6F3	7	11	7	10	6	8	8	6	9	5	5	12	7	9	6	4	7.5	12	0.773584753	1450	23.36	25.86
Aromatic-L-amino-acid decarboxylase	Ddc	O88533	11	8	9	12	7	9	9	7	12	7	11	7	12	7	10	10	9.25	12	0.773707356	480	24.45	26.68
Dystrophin	Dmd	P11531;A2A9Z2;A2A9Z1	2	1	1	2	2	1	1	1	2	5	1	1	1	3	1	2	1.6875	5	0.774293396	3678	23.19	24.86
FAS-associated factor 1	Faf1	P54731	7	5	5	4	6	3	6	5	4	5	5	4	5	3	4	7	4.875	7	0.773963722	649	22.82	24.44
40S ribosomal protein S13	Rps13	P62301;Q921R2	10	11	10	11	9	8	10	10	10	7	11	12	10	11	10	10	10	12	0.774395751	151	24.47	26.91
Lanosterol synthase	Lss	Q8BLN5	2	1	5	1	2	1	2	3	2	1	1	2	2	3	1	1	1.875	5	0.774682769	733	24.79	26.8
Regulator of microtubule dynamics protein 1	Fam82b	Q9DCV4	9	13	13	13	7	14	12	12	16	11	11	12	14	12	10	12	11.9375	16	0.77433121	305	24.88	27.36
Calcitonin gene-related peptide type 1 receptor	Calcrl	Q9R1W5	1	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0.375	1	0.759111285	463	26.2	29.27
Carbonyl reductase [NADPH] 3	Cbr3	Q8K354	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0.3125	1	0.758687238	277	22.56	24.62
Tyrosine-protein phosphatase non-receptor type 3	Ptpn3	A2ALK8;Q14BS5	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0.3125	2	0.758279989	913	23.73	25.69
Coagulation factor XIII B chain	F13b	B1AY02;Q07968	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0.3125	1	0.762997483	669	24.06	25.9
Glutathione peroxidase 7	Gpx7	Q99LJ6	1	5	4	3	1	3	2	1	3	1	3	2	1	2	4	2	2.375	5	0.776719069	186	24.45	26.73
Phosphomannomutase 2	Pmm2	Q9Z2M7	12	13	11	14	8	13	15	12	13	13	13	13	13	16	14	15	13	16	0.776423204	242	24.52	26.98
COP9 signalosome complex subunit 5	Cops5	O35864	14	14	17	13	12	11	13	9	13	8	16	9	13	7	15	12	12.25	17	0.777185589	334	23.93	26.48
Sideroflexin-1	Sfxn1	Q99JR1	21	17	24	20	17	13	20	17	26	14	21	15	18	15	18	20	18.5	26	0.777583857	322	23.69	25.97
	Sec24b	Q80ZX0;F6VJC5;Q3U882	3	4	3	5	2	3	3	6	3	4	3	2	2	3	1	3	3.125	6	0.778296648	NA	NA	NA
Importin-11	Ipo11	Q8K2V6-2;Q8K2V6	4	1	2	1	4	1	2	2	3	2	3	2	2	2	2	3	2.25	4	0.779537357	975	24.61	27.1
Cat eye syndrome critical region protein 5 homolog	Cecr5	Q91WM2	4	4	5	2	5	2	3	3	6	2	4	3	5	3	2	4	3.5625	6	0.780476935	419	23.23	25.12
39S ribosomal protein L16, mitochondrial	Mrpl16	Q99N93;Q9CSU4	2	2	2	2	3	2	1	2	3	2	1	2	2	2	2	2	2	3	0.779168745	251	25.47	27.33
Cytosolic non-specific dipeptidase	Cndp2	Q9D1A2;F6XEL6	43	42	39	44	34	34	40	35	36	25	45	36	41	36	44	47	38.8125	47	0.780622586	475	23.68	26.14
Eukaryotic translation elongation factor 1 epsilon-1	Eef1e1	Q9D1M4	3	3	2	4	1	4	2	4	2	3	4	3	3	3	3	2	2.875	4	0.779696971	174	24.15	26.59
Importin-7	Ipo7	Q9EPL8	8	11	11	10	10	7	9	11	10	13	14	11	5	8	9	9	9.75	14	0.780923823	1038	24.14	26.31
WD repeat-containing protein 61	Wdr61	Q9ERF3;Q8BVQ0;F6U7Z8	4	10	10	10	7	11	12	8	9	6	10	8	14	5	11	12	9.1875	14	0.780995994	305	24	26.71
Rho guanine nucleotide exchange factor 7	Arhgef7	Q9ES28-3;Q9ES28;Q9ES28-7;Q9ES28-2;Q9ES28-4;D3Z0V2;Q9ES28-5;Q9ES28-8;Q9ES28-6	3	1	7	2	4	1	5	3	5	3	2	2	2	4	2	2	3	7	0.781096427	862	22.74	24.62
O-acetyl-ADP-ribose deacetylase C6orf130 homolog	AI314976	Q3U5M3;Q8R5F3	1	1	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1.6875	2	0.781832207	152	23.6	26.17
39S ribosomal protein L24, mitochondrial	Mrpl24	Q9CQ06	2	0	5	1	2	0	1	1	2	0	0	1	4	1	0	0	1.25	5	0.847360443	216	24.35	25.67
Fatty acid-binding protein, adipocyte	Fabp4	P04117	9	9	12	8	5	8	14	8	8	3	12	8	13	6	11	9	8.9375	14	0.783020452	132	23.39	26.45
HEAT repeat-containing protein 3	Heatr3	Q8BQM4;E9PWH6;E9Q5L5	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0.375	2	0.767461035	679	21.85	24.17
N-acetyltransferase 9	Nat9	Q3UG98	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0.25	1	0.767483277	241	23.57	24.99
UPF0428 protein CXorf56 homolog	C330007P06Rik;Gm8181	E9QLS7;Q8VDP2-2;E9Q0G3;Q8VDP2	0	3	3	5	1	4	1	3	2	1	1	1	1	0	1	2	1.8125	5	0.834935402	222	23.35	25.08
U3 small nucleolar RNA-associated protein 18 homolog	Utp18	Q5SSI6;Q3TJX6	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0.875	1	0.835306693	552	22.19	24.13
Ethanolamine kinase 2	Etnk2	A7MCT6;A7MCT6-2	2	0	2	0	1	1	1	2	0	0	1	1	0	3	2	1	1.0625	3	0.715111421	385	25.15	27.05
Neighbor of COX4	Cox4nb	O70378	0	3	0	2	0	2	2	1	1	0	3	1	3	0	3	2	1.4375	3	0.74510568	207	23.89	25.68
FAD-linked sulfhydryl oxidase ALR	Gfer	P56213	0	1	7	3	0	3	0	4	5	6	3	3	0	5	3	0	2.6875	7	0.756370794	198	23.74	24.36
Astrocytic phosphoprotein PEA-15	Pea15;Pea15a	Q62048;Q62048-2;D3Z375	0	0	1	1	0	1	0	1	0	1	1	1	2	1	1	1	0.75	2	0.751957892	130	23.38	25.52
COMM domain-containing protein 7	Commd7	Q8BQS7;Q8BG94;E9Q8U9;A2AU52	1	1	2	2	1	2	2	0	0	0	3	0	1	0	2	1	1.125	3	0.741846096	200	23.52	25.87
Signal-transducing adaptor protein 2	Stap2	Q8R0L1;Q8R0L1-2	0	1	2	1	1	1	1	1	1	1	0	1	0	1	0	0	0.75	2	0.732930133	411	23.04	25.18
	Tcea1	E9PYD5	1	2	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0.75	2	0.810051226	NA	NA	NA
Delta(14)-sterol reductase	Tm7sf2	Q71KT5;E9Q4M8;E0CX74;E9Q4M6;E0CYD6;Q3V3I6	1	0	3	1	1	0	0	2	1	1	2	1	0	0	1	1	0.9375	3	0.79641917	418	25.5	28.79
Alanine--tRNA ligase, mitochondrial	Aars2	Q14CH7	1	0	0	1	0	1	1	1	0	1	2	1	0	1	1	1	0.75	2	0.836113654	980	22.19	23.91
Zinc finger protein 187	Znf187	Q5RJ54;Q5RJ54-2	0	1	1	1	2	0	1	0	2	1	1	2	0	1	1	0	0.875	2	0.804995295	466	23.08	23.67
Insulin-like growth factor 2 mRNA-binding protein 2	Igf2bp2	Q5SF07-2;Q5SF07;A6X8Z3	1	2	1	2	0	2	1	1	1	2	0	1	0	2	0	0	1	2	0.816047038	592	22.85	24.42
BTB/POZ domain-containing protein KCTD12	Kctd12	Q6WVG3	1	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0.6875	1	0.83965114	327	22.34	24.02
Nuclear pore complex protein Nup93	Nup93	Q8BJ71;Q8BJ71-2	0	1	1	2	2	1	1	1	0	0	3	0	2	1	0	3	1.125	3	0.781177973	819	23.26	25.46
Guanine nucleotide-binding protein-like 3	Gnl3	Q8CI11;Q8CI11-2	1	1	1	2	1	0	2	0	2	0	1	0	2	0	1	1	0.9375	2	0.817978132	538	22.68	24.51
Lariat debranching enzyme	Dbr1	Q923B1;F6S2R9;D3YXA2;F6ZYX6;F6SDN8	1	2	2	2	0	2	3	3	2	3	0	2	0	3	0	0	1.5625	3	0.838535765	550	23.18	24.77
1-acylglycerol-3-phosphate O-acyltransferase ABHD5	Abhd5	Q9DBL9;Q9DBL9-2	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0.6875	1	0.800962499	351	24.3	26.47
	Sult1a1	G3X9H0;E9QNL5;Q91W19;D3Z3G5	67	88	86	95	77	74	89	90	79	87	89	80	89	90	86	92	84.875	95	0.784449909	NA	NA	NA
Putative ATP-dependent Clp protease proteolytic subunit, mitochondrial	Clpp	O88696	5	4	13	6	3	5	4	2	10	2	6	2	7	3	7	7	5.375	13	0.785931137	272	22.79	24.48
Isopentenyl-diphosphate Delta-isomerase 1	Idi1	P58044	28	26	33	25	21	25	23	23	30	22	23	22	24	25	22	24	24.75	33	0.785650929	227	24.64	27.17
Sorting nexin-1	Snx1	Q9WV80;Q6NZD2	12	14	13	12	9	12	10	9	10	5	9	7	14	7	8	7	9.875	14	0.785173903	522	22.38	24
Nuclear pore complex protein Nup54	Nup54	Q8BTS4	2	2	2	2	2	2	3	2	2	2	4	1	2	1	1	3	2.0625	4	0.784622106	510	22.09	24.17
Alanine--glyoxylate aminotransferase 2-like 2	Agxt2l2	Q8R1K4;Q8R1K4-2;F8WHK6	4	3	2	2	3	3	4	2	3	2	6	2	5	2	3	4	3.125	6	0.785498185	467	23.27	25.24
Nucleoside diphosphate-linked moiety X motif 19, mitochondrial	Nudt19	P11930	1	2	7	5	2	4	2	7	6	6	5	3	4	5	4	4	4.1875	7	0.786838604	357	24.25	25.86
Apoptosis-inducing factor 2	Aifm2	Q8BUE4;Q8BUE4-2	4	5	8	7	6	5	5	6	5	3	5	3	7	3	4	4	5	8	0.787025134	373	22.76	25.33
Plexin-B2	Plxnb2	B2RXS4;E9Q832	5	6	6	9	7	2	8	7	9	0	11	3	7	2	3	8	5.8125	11	0.743256035	1842	23.3	25.41
Integrin alpha-L	Itgal	D3Z627;P24063;E9Q5M7;E9QNL8;D3YW95;E9PVW3	2	1	2	1	2	1	1	1	1	1	2	0	1	2	2	1	1.3125	2	0.697060893	1163	23.05	25.29
Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase	Enpp1	P06802;G3X9S2;P06802-2	0	7	5	7	8	7	4	8	7	5	8	7	5	5	7	5	5.9375	8	0.728652235	906	24.46	26.75
Peptidyl-prolyl cis-trans isomerase C	Ppic	P30412	1	1	1	1	1	1	1	1	1	2	1	1	1	1	0	1	1	2	0.746896909	212	23.73	26.72
Cytochrome c oxidase subunit 7A2, mitochondrial	Cox7a2	P48771	5	5	6	4	5	2	4	5	7	4	7	1	7	0	4	5	4.4375	7	0.744420508	83	23.42	25.94
Calponin-1	Cnn1	Q08091;Q08091-2	2	2	1	2	1	2	4	1	1	0	2	1	1	2	1	2	1.5625	4	0.699182519	297	23.11	24.91
Solute carrier family 25 member 44	Slc25a44	Q3TMC4;Q8BGF9;Q3TNN4;E9Q4H8	2	1	2	1	2	1	2	2	1	1	2	1	0	1	1	1	1.3125	2	0.748283733	314	24.82	27.4
UMP-CMP kinase 2, mitochondrial	Cmpk2	Q3U5Q7	4	5	4	3	3	3	4	3	4	0	3	1	4	2	5	4	3.25	5	0.71134138	447	22.66	23.99
	Rps15	Q3UXS6	2	5	2	4	2	3	1	4	2	5	0	4	3	6	1	2	2.875	6	0.7074933	NA	NA	NA
GTPase-activating protein and VPS9 domain-containing protein 1	Gapvd1	Q6PAR5-4;Q6PAR5;Q6PAR5-6;Q6PAR5-2;Q6PAR5-5;F7ADQ2	2	1	3	2	6	2	3	3	3	1	4	1	2	1	2	0	2.25	6	0.729232466	1458	22.11	24
WD repeat-containing protein 91	Wdr91	Q7TMQ7	3	2	1	1	3	2	2	2	2	1	1	0	1	1	1	1	1.5	3	0.739787294	748	22.88	24.93
HIV Tat-specific factor 1 homolog	Htatsf1	Q8BGC0	3	3	2	3	2	2	3	4	1	2	2	3	3	3	1	0	2.3125	4	0.730234811	757	21.07	22.24
39S ribosomal protein L22, mitochondrial	Mrpl22	Q8BU88	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	1.8125	2	0.704951551	206	24.73	26.24
FERM, RhoGEF and pleckstrin domain-containing protein 2	Farp2	Q91VS8;D3Z4C0	2	2	4	3	1	2	1	5	3	2	4	2	2	1	1	0	2.1875	5	0.720647457	1065	24.01	25.97
39S ribosomal protein L54, mitochondrial	Mrpl54	Q9CPW3	1	1	3	1	1	1	2	1	1	1	1	0	1	1	1	1	1.125	3	0.716809216	135	24.47	26.04
Density-regulated protein	Denr	Q9CQJ6;E9Q0G1	4	5	4	5	0	5	5	5	6	4	3	4	4	5	2	5	4.125	6	0.745413326	198	22.71	24.83
Sulfurtransferase	2610029I01Rik	Q9D0B5	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	2	0.74622298	157	23	25.6
Nucleolar protein 7	Nol7	Q9D7Z3;Q9D7Z3-2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.9375	1	0.710460896	254	22.02	23.5
Mitogen-activated protein kinase kinase kinase MLT	Mltk	Q9ESL4;Q9ESL4-2;Q9ESL4-3	2	1	2	3	3	1	5	2	2	0	5	1	6	1	6	3	2.6875	6	0.729376717	802	23.95	25.84
Nuclear protein MDM1	Mdm1	B2RPU6;Q9D067;Q9D067-2;E9PW14;E9Q0B1;Q9D067-4;Q9D067-3	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0.375	1	0.771601914	708	22.16	23.32
SUMO-conjugating enzyme UBC9	Ube2i	P63280;G3UYP0;Q8CFZ0	6	3	4	4	6	2	6	2	3	4	9	2	6	2	5	5	4.3125	9	0.789621232	158	24.62	26.47
Heterogeneous nuclear ribonucleoprotein H;Heterogeneous nuclear ribonucleoprotein H, N-terminally processed	Hnrnph1	Q8C2Q7;O35737	2	2	3	3	3	2	1	3	1	2	2	3	2	3	2	3	2.3125	3	0.788903779	449	22.89	24.82
Serine/threonine-protein phosphatase 2A activator	Ppp2r4	P58389	2	2	2	2	1	2	1	3	2	1	2	1	2	1	2	4	1.875	4	0.789936703	323	24.9	27.11
Copine-2	Cpne2	P59108	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.789948998	548	23.79	26.36
Ubiquitin-conjugating enzyme E2 K	Ube2k	P61087;E9Q6W9;D3Z4U3	7	10	9	10	11	11	9	8	9	7	10	7	11	8	11	9	9.1875	11	0.788516869	200	23.31	25.56
Fatty acid-binding protein, epidermal	Fabp5	Q05816;E9Q964	29	21	20	17	18	18	30	16	24	11	29	15	24	11	21	29	20.8125	30	0.78906627	135	23.2	25.62
Glycine--tRNA ligase	Gars	Q9CZD3	17	19	22	21	14	18	16	16	19	13	17	16	16	14	16	18	17	22	0.789455867	729	23.32	25.5
Acidic leucine-rich nuclear phosphoprotein 32 family member A	Anp32a	O35381;D3Z7M9;D3YYE1;F6UFG6	8	8	10	8	6	9	6	7	10	8	8	9	12	8	9	7	8.3125	12	0.790406755	247	20.76	22.45
Latent-transforming growth factor beta-binding protein 4	Ltbp4	Q8K4G1;Q8K4G1-3;E9QPS5;Q8K4G1-2;D3Z598;E9Q6B8;E9Q003	0	1	2	2	0	0	0	2	2	1	0	2	0	0	0	0	0.75	2	0.77289576	1666	21.37	21.85
Vesicle transport protein SEC20	Bnip1	Q6QD59;F7C279	0	1	1	1	0	1	1	1	2	1	0	1	0	0	0	0	0.625	2	0.770604079	228	22.63	24.86
H-2 class II histocompatibility antigen, A beta chain;H-2 class II histocompatibility antigen, A-K beta chain;H-2 class II histocompatibility antigen, A-U beta chain;H-2 class II histocompatibility antigen, A-S beta chain;H-2 class II histocompatibility antigen, A-F beta chain	H2-Ab1	P14483;P06343;P06344;P06345;E9Q297;P06346;E9Q2L3	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0.625	1	0.858312561	NA	NA	NA
Mitochondrial inner membrane protein	Immt	E9QLA0;Q8CAQ8-5;Q8CAQ8	1	0	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0.6875	1	0.850216804	757	21.87	23.6
Phosphatidylinositol 4-kinase type 2-alpha	Pi4k2a	Q2TBE6	2	1	2	1	2	1	2	1	2	1	1	1	1	1	1	1	1.3125	2	0.79169412	479	23.86	25.54
